LocationID,PeakTime,TotalTravelRate,Fluctuations,MFNIL
1,52,0.038726972,6,0.078731173
2,53,0.006662304,1,0.00433592
3,55,0.177540262,6,0.168644455
4,52,0.014723286,1,0.02715655
5,53,0.007401231,1,0.007188498
6,50,0.054954808,6,0.064582382
7,47,0.023729629,3,0.052829758
8,52,0.047237883,1,0.08660429
9,51,0.099713672,1,0.211775445
10,54,0.168048759,27,0.409744409
11,56,0.010485689,1,0.023277042
12,52,0.020354996,1,0.02681424
13,54,0.074581161,3,0.10759927
14,53,0.035497604,1,0.100182565
15,52,0.040099019,1,0.103719763
16,54,0.008364689,1,0.015289822
17,55,0.019813699,6,0.039365586
18,55,0.017654498,2,0.038680968
19,56,0.010813138,1,0.039365586
20,53,0.017451692,1,0.075079872
21,55,0.014490512,1,0.019283432
22,55,0.022861642,2,0.02863989
23,55,0.016401131,1,0.029895025
24,55,0.020520759,2,0.043701506
25,52,0.081517785,3,0.108512095
26,55,0.019046874,2,0.075308079
27,52,0.048805979,1,0.080100411
28,55,0.025532399,3,0.084208124
29,52,0.028099173,2,0.097786399
30,54,0.041525439,1,0.188498403
31,55,0.029878345,2,0.028868097
32,53,0.019389605,1,0.081013236
33,57,0.005249209,1,0.007416705
34,54,0.08552659,2,0.1195801
35,55,0.009147162,1,0.029096303
36,52,0.00655636,1,0.022021908
37,55,0.008768448,1,0.029552716
38,51,0.012972983,1,0.049406664
39,53,0.017909043,1,0.061615701
40,63,0.003091012,1,0.013692378
41,52,0.033015305,7,0.145937928
42,54,0.1001496,11,0.309561844
43,52,0.030205593,8,0.088315838
44,56,0.009934033,1,0.024189868
45,52,0.029694799,5,0.056366956
46,54,0.071801834,9,0.173664993
47,58,0.003773077,1,0.004792332
48,54,0.119079271,6,0.33044272
49,52,0.006895117,1,0.008101324
50,55,0.007376882,1,0.019625742
51,59,0.003520806,1,0.01665906
52,54,0.050522502,1,0.152327704
53,52,0.019798668,1,0.060360566
54,53,0.023505957,1,0.043929712
55,54,0.026846416,1,0.119237791
56,67,0.001046326,1,0.003651301
57,55,0.062769579,5,0.261752624
58,55,0.148205306,2,0.185988133
59,53,0.017353725,1,0.018142401
60,55,0.007725403,1,0.017685988
61,52,0.046043904,4,0.088886353
62,54,0.061331306,1,0.178799635
63,52,0.061848849,3,0.144682793
64,53,0.018449987,1,0.057393884
65,55,0.018045216,1,0.039365586
66,53,0.014749872,2,0.042788681
67,50,0.020449767,1,0.049520767
68,55,0.086219283,7,0.18404838
69,53,0.010958085,1,0.032861707
70,52,0.014969102,1,0.042560475
71,56,0.011939219,1,0.032861707
72,55,0.015143402,2,0.032062985
73,55,0.015562326,2,0.063213145
74,53,0.019982034,1,0.045869466
75,53,0.015634265,1,0.032633501
76,55,0.020052961,2,0.039936102
77,56,0.011677505,1,0.022934733
78,54,0.024601857,3,0.13441351
79,59,0.004473861,1,0.00650388
80,54,0.04650747,2,0.230374258
81,54,0.042820506,4,0.193062529
82,52,0.019688404,1,0.067320858
83,52,0.02709296,1,0.099041534
84,53,0.022734287,1,0.07644911
85,54,0.035671936,1,0.160999544
86,54,0.021001195,1,0.074851666
87,56,0.014378865,1,0.038566864
88,52,0.018952878,1,0.06195801
89,46,0.014194227,1,0.044386125
90,53,0.023192639,1,0.083409402
91,57,0.011868304,2,0.037425833
92,54,0.031165198,1,0.017229576
93,52,0.047157919,1,0.051118211
94,53,0.008350133,1,0.00616157
95,52,0.068297879,10,0.13007759
96,52,0.047217611,9,0.124372433
97,54,0.096521088,3,0.214285714
98,54,0.111181452,1,0.235280694
99,53,0.061672078,9,0.216910087
100,53,0.002519181,1,0.00616157
101,52,0.032360954,2,0.092195345
102,54,0.094815447,2,0.311501597
103,52,0.02907666,4,0.117640347
104,53,0.019117218,1,0.051688727
105,54,0.146491654,9,0.374372433
106,55,0.141406558,15,0.182222729
107,52,0.02496418,1,0.068575993
108,53,0.014935937,1,0.034459151
109,55,0.049662843,2,0.051916933
110,52,0.042308546,1,0.087973528
111,56,0.014353186,1,0.034116842
112,53,0.021909799,1,0.053514377
113,53,0.11760051,1,0.117640347
114,58,0.003125432,1,0.01015518
115,52,0.024700068,2,0.097329986
116,54,0.206475495,14,0.164764948
117,54,0.041580551,5,0.106344135
118,52,0.116365427,20,0.126540393
119,55,0.008142019,1,0.012551346
120,52,0.048702352,2,0.054084893
121,54,0.22292478,22,0.200479233
122,54,0.036708342,2,0.021565495
123,55,0.428778951,14,0.23117298
124,52,0.074539589,1,0.131446828
125,55,0.012790631,2,0.040164309
126,52,0.028918587,3,0.105089
127,55,0.024825365,1,0.03115016
128,52,0.023603427,1,0.086376084
129,51,0.037026445,3,0.078845276
130,54,0.046883261,7,0.102122319
131,52,0.049842813,4,0.159858512
132,51,0.031829066,2,0.056595162
